id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasasets/gov/lakd/kelioelementai,,,,,,,,,,,,,
,,roadelement,,,,geojson,,https://gis.ktvis.lt/arcgis/rest/services/PUB/PUB_KELIO_ELEMENTAI/MapServer/5/query?outFields=*&where=1%3D1&f=geojson,,,,,,
,,,,RoadStop,,,id,,,,,,Aikštelės,
,,,,,id,integer,,id,,4,open,,,
,,,,,geometry,"geometry(point, 4326)",m,geometry,,4,open,,Geometrija,
,,,,,objectid,integer,,objectid,,4,open,,Identifikatorius,
,,,,,kelionr,ref,/datasets/gov/ladk/keliai,kelionr,,4,open,,Kelio numeris,
,,,,,vietakm,number,km,vietakm,,4,open,,Kelio vieta,
,,,,,kelio_puse,integer,,kelio_puse,,,,,,
,,,,,,enum,,,"""1""",,,,Kairėje šalia kelio,
,,,,,,,,,"""2""",,,,Dešinėje šalia kelio,
,,,,,,,,,"""25""",,,,Kairėje,
,,,,,,,,,"""26""",,,,Dešinėje,
,,,,,vaz_dal,ref,/datasets/gov/lakd/keliai,vaz_dal,,4,open,,Važiuojamoji dalis,
,,,,,,enum,,,"""0""",,,,Viena važiuojamoji dalis,
,,,,,,,,,"""1""",,,,Pirma važiuojamoji dalis,
,,,,,,,,,"""2""",,,,antra važiuojamoji dalis,
,,,,,tipas,integer,,tipas,,3,open,,Aikštelės tipas,
,,,,,,enum,,,"""1""",,,,Poilsio aikštelė,
,,,,,,,,,"""2""",,,,Sustojimo aikštelė,
,,,,,,,,,"""3""",,,,Degalinė,
,,,,,danga,integer,,danga,,3,open,,Dangos tipas,
,,,,,,enum,,,"""asf""",,,,Asfaltbetonio danga ,
,,,,,,,,,"""žv""",,,,"Žvyro, skaldos ar pan. danga be rišiklių ",
,,,,,,,,,"""nn""",,,,"Nenustatyta reikšmė. Reikšmė turi būti, tačiau nėra žinoma (negalima nustatyti), neįrašyta arba prarasta ","Reikšmė turi būti, tačiau nėra žinoma (negalima nustatyti), neįrašyta arba prarasta "
,,,,,,,,,"""c""",,,,Plokščių (plytelių) danga ,
,,,,,,,,,"""tr""",,,,Betono trinkelių arba akmens trinkelių danga ,
,,,,,,,,,null,,,,,
,,,,,plotas,number,,plotas,,,,,Plotas,
