id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ktizm/pauksciai_ir_siksnosparniai,,,,,,,,,,,,"Paukščių ir šikšnosparnių aptikimų, žiedavimų ir biometriniai duomenys",
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,PaukscioAptikimas,,,iraso_id,,,4,,,Paukščių ir šikšnosparnių aptikimų duomenys,"Lentelėje pateikti Kauno Tado Ivanausko zoologijos muziejaus Paukščių ir šikšnorsparnių, žieduotų Lietuvoje, aptikimų duomenys iš Paukščių žiedavimo ir aptikimo duomenų bazės. Duomenų atnaujinimas vykdomas kartą per metus."
,,,,,iraso_id,string,,,,4,open,,"Duomenų eilutės įrašo identifikatorius	",
,,,,,aptikimo_data,date,D,,,4,open,,Aptikimo data,
,,,,,aptikimo_teritorija,string,,,,4,open,,Aptikimo teritorija,
,,,,,aptikimo_vietove,string,,,,4,open,,"Aptikimo vietovė: rajonas, savivaldybė arba kita",
,,,,,p_rusis_en,string,,,,4,open,,Paukščio arba šikšnorsparnio rūšies angliškas pavadinimas,
,,,,,p_rusis_lot,string,,,,4,open,,Paukščio arba šikšnorsparnio rūšies lotyniškas pavadinimas,
,,,,,p_amzius_en,string,,,,4,open,,Paukščio arba šikšnorsparnio amžiaus kategorija (anglų k.),
,,,,,p_amzius_lt,string,,,,4,open,,Paukščio arba šikšnorsparnio amžiaus kategorija (lietuvių k.),
,,,,,p_lytis_en,string,,,,4,open,,Paukščio arba šikšnorsparnio lytis,
,,,,,p_ziedo_schema,string,,,,4,open,,Paukščio arba šikšnorsparnio žiedo schema,
,,,,,p_ziedo_nr,string,,,,4,open,,Paukščio arba šikšnorsparnio žiedo numeris,
,,,,,p_spalvzied_kodas,string,,,,4,open,,Paukščio arba šikšnorsparnio spalvinio žiedo kodas,
,,,,,p_ziedavimo_salis,string,,,,4,open,,Paukščio arba šikšnorsparnio žiedavimo centro šalis,
,,,,,p_ziedavimo_centras,string,,,,4,open,,Paukščio arba šikšnorsparnio žiedavimo centras,
,,,,,bukle_en,string,,,,4,open,,Paukščio arba šikšnorsparnio būklė aptikimo metu (anglų k.),
,,,,,bukle_lt,string,,,,4,open,,Paukščio arba šikšnorsparnio būklė aptikimo metu (lietuvių k.),
,,,,,aplinkybes_en,string,,,,4,open,,Aptikimo aplinkybės (anglų k.),
,,,,,aplinkybes_lt,string,,,,4,open,,Aptikimo aplinkybės (lietuvių k.),
,,,,,aplinkybes_spejamos,boolean,,,,4,open,,"Požymis, ar aptikimo aplinkybės yra spėjamos",
,,,,,aptikimo_pranesejas,string,,,,4,open,,Aptikimo pranešėjo kodas,
,,,,,,,,,,,,,,
,,,,PaukscioZiedavimas,,,iraso_id,,,4,,,Paukščių ir šikšnosparnių žiedavimo duomenys,Lentelėje pateikti Kauno Tado Ivanausko zoologijos muziejaus Lietuvoje atliktų paukščių ir šikšnorsparnių žiedavimų duomenys iš Paukščių žiedavimo ir aptikimo duomenų bazės. Duomenų atnaujinimas vykdomas kartą per metus. 
,,,,,iraso_id,string,,,,4,open,,"Duomenų eilutės įrašo identifikatorius	",
,,,,,ziedavimo_data,date,D,,,4,open,,Žiedavimo data,
,,,,,p_rusis_lot,string,,,,4,open,,Paukščio arba šikšnorsparnio rūšies lotyniškas pavadinimas,
,,,,,p_rusis_en,string,,,,4,open,,Paukščio arba šikšnorsparnio rūšies angliškas pavadinimas,
,,,,,p_lytis_en,string,,,,4,open,,Paukščio arba šikšnorsparnio lytis,
,,,,,p_amzius_en,string,,,,4,open,,Paukščio arba šikšnorsparnio amžiaus kategorija (anglų k.),
,,,,,p_amzius_lt,string,,,,4,open,,Paukščio arba šikšnorsparnio amžiaus kategorija (lietuvių k.),
,,,,,p_ziedo_schema,string,,,,4,open,,Paukščio arba šikšnorsparnio žiedo schema,
,,,,,p_ziedo_nr,string,,,,4,open,,Paukščio arba šikšnorsparnio žiedo numeris,
,,,,,ziedavimo_teritorija,string,,,,4,open,,Žiedavimo teritorija,
,,,,,ziedavimo_vietove,string,,,,4,open,,"Žiedavimo vietovė: rajonas, savivaldybė arba kita",
,,,,,p_ziedavimo_centro_salis,string,,,,4,open,,Paukščio arba šikšnorsparnio žiedavimo centro šalis,
,,,,,p_ziedavimo_centras,string,,,,4,open,,Paukščio arba šikšnorsparnio žiedavimo centras,
,,,,,kas_ziedavo,,,,,4,open,,Žieduotojo kodas,
,,,,,,,,,,,,,,
,,,,PaukscioBiometrija,,,iraso_id,,,4,,,Paukščių ir šikšnosparnių biometriniai duomenys (išmatuoti žieduojant),Lentelėje pateikti Kauno Tado Ivanausko zoologijos muziejaus Lietuvoje atliktų paukščių ir šikšnorsparnių žiedavimų biometriniai duomenys iš Paukščių žiedavimo ir aptikimo duomenų bazės. Duomenų atnaujinimas vykdomas kartą per metus. 
,,,,,iraso_id,string,,,,4,open,,"Duomenų eilutės įrašo identifikatorius	",
,,,,,matavimo_pav_en,string,,,,4,open,,Matavimo pavadinimas (anglų k.),
,,,,,matavimo_pav_lt,string,,,,4,open,,Matavimo pavadinimas (lietuvių k.),
