id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rpl,,,,,,,,,,,,Rokiškio psichiatrijos ligoninė,
,datasets/gov/rpl/lovu_fondas,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,LovuFondas,,,,,,4,,,VšĮ Rokiškio psichiatrijos ligoninės pacientų ir lovų fondo skaičiaus dinamika,
,,,,,data,date,D,,,4,open,,Formos pildymo data,
,,,,,skyr_pav,string,,,,4,open,,Skyriaus pavadinimas,
,,,,,fakt_lovos,integer,,,,4,open,,"Faktinis naudojamų lovų skaičius, įskaitant remontuojamas lovas",
,,,,,ligoniu_viso_vakar,integer,,,,4,open,,Ligonių skaičius praėjusios paros pradžioje iš viso,
,,,,,ligoniu_kaimo_vakar,integer,,,,4,open,,Ligonių kaimo gyventojų skaičius praėjusios paros pradžioje,
,,,,,atvyko,integer,,,,4,open,,"Atvyko iš viso (be perkeltų pačioje ligoninėje)",
,,,,,atvyko_kaimo,integer,,,,4,open,,Atvyko kaimo gyventojų,
,,,,,atkelta,integer,,,,4,open,,"Atkelta pacientų iš kitų skyrių pačioje ligoninėje",
,,,,,atkelta_kaimo,integer,,,,4,open,,Atkelta pacientų iš kitų skyrių pačioje ligoninėje kaimo gyventojų,
,,,,,iskelta,integer,,,,4,open,,Iškelta pacientų į kitus skyrius pačioje ligoninėje,
,,,,,iskelta_kaimo,integer,,,,4,open,,Iškelta pacientų į kitus skyrius pačioje ligoninėje kaimo gyventojų,
,,,,,israsyta_viso,integer,,,,4,open,,Išrašyta pacientų iš viso,
,,,,,israsyta_stacionar,integer,,,,4,open,,"Išrašyti iš ligoninės pacientai, kurie perkelti į kitus stacionarus",
,,,,,israsyta_kaimo,integer,,,,4,open,,Išrašyta  kaimo gyventojų,
,,,,,mire_viso,integer,,,,4,open,,Mirė pacientų iš viso,
,,,,,mire_kaimo,integer,,,,4,open,,Mirė kaimo gyventojų,
,,,,,ligoniu_viso,integer,,,,4,open,,Ligonių skaičius šios dienos pradžioje,
,,,,,ligoniu_viso_kaimo,integer,,,,4,open,,Iš jų šios dienos pradžioje yra kaimo gyventojų,
