id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,,,,,,prefix,locn,,,,,http://www.w3.org/ns/locn#,,
,datasets/gov/regitra/tp,,,,,,,,,,,,,
,,csv,,,,csv,,https://www.regitra.lt/atvduom/Atviri_TP_parko_duomenys.zip,"self.extract(""zip"")[""Atviri_TP_parko_duomenys.csv""]",,,,,
,,,,TransportoPriemone,,,"keb_kodas, spec_kodas",,,,,,,
,,,,,marke,string,,MARKE,,3,open,,Gamybinë markë (gamintojo prekës pavadinimas),"Kai `vald_tipas=""Fizinis""` ir `marke+komercinis_pav+savivaldyb=1`, tomet vietoje ""Gamybinë markë"" yra nurodoma `Nuasmeninta`, atsiþvelgiant á asmens duomenø apsaugà."
,,,,,,lang,en,,,,,,Make (Trade name of the manufacturer),"When `vald_tipas=""Fizinis""` (Legal) and `marke+komercinis_pav+savivaldyeb=1`, then instead ""Make (trade name of the manufacturer)"" indicated `Nuasmeninta`, taking into account the protection of personal data."
,,,,,komercinis_pav,string,,KOMERCINIS_PAV,,3,open,,Komercinis pavadinimas,"Kai `vald_tipas=""Fizinis""` ir `marke+komercinis_pav+savivaldybe=1`, tomet vietoje ""Komercinis pavadinimas"" yra nurodoma `Nuasmeninta`, atsiþvelgiant á asmens duomenø apsaugà."
,,,,,,lang,en,,,,,,Commercial name,"When `vald_tipas=""Fizinis""` (Legal) and `marke+komercinis_pav+savivaldybe=1`, then instead ""Commercial name"" indicated `Nuasmeninta`, taking into account the protection of personal data)."
,,,,,gamintojo_pav,string,,GAMINTOJO_PAV,,3,open,,Gamintojo pavadinimas,
,,,,,,lang,en,,,,,,Name of manufacturer,
,,,,,gamintojo_pav_baz,string,,GAMINTOJO_PAV_BAZ,,3,open,,Bazinës transporto priemonës gamintojo pavadinimas,
,,,,,,lang,en,,,,,,Name of the manufacturer of the base vehicle,
