id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ntakd/patikrinimo_planai,,,,,,,,,,,,Ūkio subjektų besiverčiančių alkoholio ir tabako gaminių didmenine ir mažmenine prekyba metiniai planinių patikrinimų planai,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Planinis,,,eil_nr,,,4,,,Metiniai planinių patikrinimų planai,
,,,,,eil_nr,integer,,,,4,open,,Eilės numeris,
,,,,,ukio_subj_pav,ref,/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo[ja_pavadinimas],,,2,open,,Ūkio subjekto pavadinimas,
,,,,,ukio_subj_kodas,ref,/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo[ja_kodas],,,3,open,,Ūkio subjekto kodas,
,,,,,ukio_subj_adresas,string,,,,2,open,,Ūkio subjekto adresas,
,,,,,licencija,string,,,,2,open,,Licencijos numeris ,
,,,,,veikla,string,,,,3,open,,Ūkinės veiklos rūšis,
,,,,,sandelio_prek_adresas,string,,,,2,open,,Numatomo tikrinti sandėlio ar prekybos vietos adresas,
,,,,,patikr_terminas,string,,,,2,open,,Patikrinimo terminas ketvirčiais,
,,,,,pastabos,string,,,,2,open,,Pastabos,
