id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description,
,datasets/gov/lsd/klasifikatoriai/veiklos,,,,,,,,,,,,Ekonominės veiklos rūšies klasifikatorius,
,,,,,,,,,,,,,,,
,,,,Lygmuo,,,,,,,,,,,
,,,,,pavadinimas_lt,string,,,,3,open,,Pavadinimas,,
,,,,,pavadinimas_en,string,,,,3,open,,Pavadinimas,,
,,,,,lygmuo,integer,,,,3,open,,Lygmuo,,
,,,,EkonominesVeiklosRusis,,,,,,,,,Ekonominės veikos rūšis,,
,,,,,kodas,string,,,,3,open,,lygmens kodas,,
,,,,,pavadinimas_lt,string,,,,3,open,,Pavadinimas,,
,,,,,pavadinimas_lt,string,,,,3,open,,Pavadinimas,,
,,,,,pastabos_lt,string,,,,2,open,,Aiškinamosios pastabos,,
,,,,,pastabos_en,string,,,,2,open,,Aiškinamosios pastabos,,
,,,,,lygmuo,ref,Lygmuo,,,4,open,,lygmuo,,
,,,,,ankstesnis_kodas,ref,EkonominesVeiklosRusis,,,4,open,,ankstesnė lygmens kodo versija,,
