id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/aaa/atlieku_tvarkymas,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,AtliekuSusidarymasTvarkymas,,,,,,,,,Atliekų susidarymo ir tvarkymo duomenys,
,,,,,metai,date,Y,,,4,open,,Metai,Ataskaitiniai metai
,,,,,atl_kodas,integer,,,,3,open,,Atliekos kodas,"Atliekų klasifikavimo ir atitinkamo kodo pasirinkimo tvarka išdėstyta Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 1 priede"
,,,,,pavojingumas,boolean,,,,4,open,,Pavojingumas,"* žymimos pavojingosios atliekos, pagal Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 1 priede"
,,,,,atl_pavad,string,,,,3,open,,Atliekos pavadinimas,"Atitinkamo kodo atliekų pavadinimas pagal Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 1 priedą"
,,,,,stat_kodas,integer,,,,3,open,,Statistinis kodas,Pagal Europos Parlamento ir Tarybos reglamentą (EB) Nr. 2150/2002
,,,,,stat_kodo_pavad,string,,,,3,open,,Statistinio kodo pavadinimas,Pagal Europos Parlamento ir Tarybos reglamentą (EB) Nr. 2150/2002
,,,,,surinkta,number,t,,,3,open,,"Surinkta, t",Iš atliekų darytojų ataskaitiniais metais surinktas atliekų kiekis tonomis
,,,,,susidare,number,t,,,3,open,,"Susidarė atliekų apdorojimo metu, t",Kitų atliekų tvarkymo metu atliekų tvarkymo įrenginiuose susidaręs kiekis tonomis
,,,,,salinimas,number,t,,,3,open,,"Šalinimas sąvartynuose (D1, D5), t","Ataskaitiniais metais D1, D5 būdais pašalintas atliekų kiekis tonomis (veiklos būdų kodų reikšmės aprašytos Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 2 priede)"
,,,,,apdor_zem,number,t,,,3,open,,"Apdorojimas žemėje (D2), giluminis įpurškimas (D4), surinkimas į telkinius žemės paviršiuje (D6), t","Ataskaitiniais metais kitomis šalinimo veiklomis (D2, D4, D6) pašalintas atliekų kiekis tonomis (veiklos būdų kodų reikšmės aprašytos Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 2 priede)"
,,,,,deg_sausuma,number,t,,,3,open,,"Deginimas sausumoje (D10), t","Ataskaitiniais metais sausumoje sudegintas (D10) atliekų kiekis tonomis (veiklos būdų kodų reikšmės aprašytos Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 2 priede)"
,,,,,deg_kuras,number,t,,,3,open,,"Deginimas, naudojant kaip kurą ar kt. būdais energijai gauti (R1), t","Ataskaitiniais metais sunaudotas deginant kaip kurą ar kitais būdais išgaunant energiją (R1) atliekų kiekis tonomis  (veiklos būdų kodų reikšmės aprašytos Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 2 priede)"
,,,,,perdirbimas,number,t,,,3,open,,"Perdirbimas (R2-R9), t","Ataskaitiniais metais perdirbtas atliekų kiekis tonomis R2-R9 ir R10' būdais (veiklos būdų kodų reikšmės aprašytos Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 2 priede)"
,,,,,naudojimas,number,t,,,3,open,,"Naudojimas (R10, R11), t","Ataskaitiniais metais panaudotas (apdorojimas žemėje, naudingas žemės ūkiui ar gerinantis aplinkos būklę (R10), arba atliekų, gautų vykdant bet kurią iš R1– R10 veiklų, panaudojimas (R11) atliekų kiekis tonomis  (veiklos būdų kodų reikšmės aprašytos Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 2 priede)"
,,,,,apdorojimas,number,t,,,3,open,,"Apdorojimas  (D8, D9, D14, R12, S5), t","Ataskaitiniais metais apdorotų (tarpinio tvarkymo veiklos būdais D8, D9, D14, R12, S5) atliekų kiekis tonomis (veiklos būdų kodų reikšmės aprašytos Atliekų tvarkymo taisyklių, patvirtintų Lietuvos Respublikos aplinkos ministro 1999 m. liepos 14 d. įsakymu Nr. 217 ""Dėl atliekų tvarkymo taisyklių patvirtinimo"", 2 priede)"
,,,,,eksportuota,number,t,,,3,open,,"Eksportuota (S4), t",Ataskaitiniais metais eksportuotas atliekų kiekis tonomis
,,,,,atnaujinta,datetime,D,,,4,open,,Įrašo atnaujinimo data,Duomenų eilutės paskutinio atnaujinimo data
