id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/aaa/juros_mariu_monitoringas,,,,,,,,,,,,,
,,,,,,enum,nustatymo_zyme,,'SP',,,,Nėra galimybės arba nereikia nurodyti konkretaus rūšies pavadinimo,
,,,,,,,,,'SPP',,,,Kelios nenustatytos tos pačios genties rūšys,
,,,,,,,,,'CF',,,,"Žymėjimas dedamas tarp genties ir rūšies pavadinimo, reiškiantis, kad individas kaip įmanoma (su tam tikra abejone) atpažintas iki rūšies",
,,,,,,,,,'CPX',,,,"Žymėjimas reiškia, kad yra labai panašių viena į kitą rūšių grupė pavadinta pagal labiausiai paplitusią rūšį regione",
,,,,,,,,,'VARIA',,,,"Žymima, kai individai identifikuojami iki klasės",
,,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,Hidrochemija,,,reg_nr,,,2,,,Kuršių marių ir Baltijos jūros hidrocheminių parametrų tyrimai vandenyje,
,,,,,reg_nr,string,,,,2,open,,Tyrimo registracijos numeris,Registracijos nr. nėra unikalus
,,,,,data,datetime,D,,,4,open,,Mėginio paėmimo data,
,,,,,telkinio_pav,string,,,,3,open,,Vandens telkinio pavadinimas,
,,,,,m_vietos_kodas,string,,,,3,open,,Monitoringo vietos kodas,
,,,,,m_vietos_pav,string,,,,3,open,,Monitoringo vietos pavadinimas,
,,,,,m_koordinate,"geometry(point, 3346)",,,,3,open,,Monitoringo vietos koordinatės (LKS-94),
,,,,,tyrim_objektas,string,,,,3,open,,Tyrimų objektas,"Tyrimų objektas visiems Kuršių marių ir Baltijos jūros tyrimams, išskyrus Specifinių teršalų tyrimus biotoje -  paviršinis vanduo."
,,,,,horizontas,string,,,,3,open,,"Vandens sluoksnis, iš kurio paimtas mėginys","Horizontas/Sluoksnis: Paviršinis sluoksnis, Tarpinis sluoksnis, Priedugnis, Integruotas, Sudėtinis. Monitoringo vietoje gali būti keli Tarpiniai sluoksniai, priklausomai nuo jos gylio."
,,,,,gylis,number,m,,,4,open,,"Gylis, iš kurio paimtas mėginys, metrais",
,,,,,parametro_pav,string,,,,3,open,,Tiriamo parametro pavadinimas,
,,,,,maziau_ribos,boolean,,,,4,open,,"Simbolis ""<"", žymintis, kad rezultatas yra žemiau kiekybinio įvertinimo ribos",
,,,,,rezultatas,number,,,,4,open,,Parametro tyrimo rezultatas,
,,,,,matavimo_vnt,string,,,,4,open,,Matavimo vienetai,Matavimo vienetas priklauso nuo tiriamo parametro.
,,,,,tyr_metodas,string,,,,3,open,,Tyrimų metodas,
,,,,,,,,,,,,,,
,,,,Hidrometeorologija,,,reg_nr,,,2,,,Kuršių marių ir Baltijos jūros hidrologinių matavimų vandenyje ir meteorologinių stebėjimų duomenys,
,,,,,reg_nr,string,,,,2,open,,Tyrimo registracijos numeris,Registracijos nr. nėra unikalus
,,,,,data,datetime,D,,,4,open,,Stebėjimų ir matavimų data,
,,,,,telkinio_pav,string,,,,3,open,,Vandens telkinio pavadinimas,
,,,,,m_vietos_kodas,string,,,,3,open,,Monitoringo vietos kodas,
,,,,,m_vietos_pav,string,,,,3,open,,Monitoringo vietos pavadinimas,
,,,,,m_koordinate,"geometry(point, 3346)",,,,3,open,,Monitoringo vietos koordinatės (LKS-94),
,,,,,tyrim_objektas,string,,,,3,open,,Tyrimų objektas,
,,,,,horizontas,string,,,,3,open,,"Vandens sluoksnis, kuriame atlikti  matavimai",
,,,,,gylis,number,m,,,4,open,,"Gylis, kuriame atlikti matavimai, metrais",
,,,,,parametro_pav,string,,,,3,open,,Tiriamo parametro pavadinimas,
