id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/saugomos_veisles,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Veisle,,,id,,,4,open,,"Pateikiama informacija apie į Nacionalinį sąrašą įrašytas veisles, išbrauktas veisles, veislių palaikytojų ir selekcininkų įgaliotųjų atstovų sąrašus.",
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,grupe,string,,,,4,open,,Augalų grupė,
,,,,,,enum,,,"""ŽEMĖS ŪKIO AUGALAI""",,,,,
,,,,,,,,,"""DARŽOVĖS""",,,,,
,,,,,,,,,"""Sodo augalai""",,,,,
,,,,,,,,,"""Dekoratyviniai augalai""",,,,,
,,,,,gentis,string,,,,4,open,,Augalų genčių ir rūšių grupė,
,,,,,,enum,,,"""Javai""",,,,,
,,,,,,,,,"""Aliejiniai ir pluoštiniai augalai""",,,,,
,,,,,,,,,"""Runkeliai""",,,,,
,,,,,,,,,"""Pašariniai pupiniai augalai""",,,,,
,,,,,,,,,"""Pašariniai migliniai augalai""",,,,,
,,,,,,,,,"""Daržovės""",,,,,
,,,,,,,,,"""Bulvės""",,,,,
,,,,,,,,,"""Serbentai""",,,,,
,,,,,,,,,"""Trešnės, Vyšnios""",,,,,
,,,,,,,,,"""Braškės, žemuogės""",,,,,
,,,,,,,,,"""Obelys""",,,,,
,,,,,,,,,"""Pašariniai kitų rūšių augalai""",,,,,
,,,,,,,,,"""Kriaušės""",,,,,
,,,,,veisle,string,,,,4,open,,Augalo veislės pavadinimas,
,,,,,rusis,string,,,,2,open,,Augalo rūšis,
,,,,,atnaujinimo_metai,integer,,,,2,open,,Įrašymo atnaujinimo metai,
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,galioja_iki,integer,,,,2,open,,"Metai, iki kurių gruodžio 31 d. galioja įrašymas",
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,atstovas,string,,,,1,open,,Atstovo pavadinimas,
,,,,,atstovo_adresas,string,,,,2,open,,Atstovo adresas,
,,,,,metai,integer,,,,2,open,,Įrašymo metai,
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,palaikytojas,string,,,,1,open,,Veislės palaikytojas,
,,,,,pastabos,string,,,,2,open,,Pastabos,
,,,,,buveine,string,,,,1,open,,Palaikytojo adresas,
,,,,,koord,"geometry(point, 3346)",m,,,4,open,,Palaikytojo adreso koordinatės (LKS),
,,,,,,,,,,,,,,
,,,,Verte,,,id,,,4,open,,Pateikiama informacija apie atlikto ūkinio vertingumo tyrimo duomenis.,
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,rusis,string,,,,2,open,,Augalo rūšis,
,,,,,stotis,string,,,,4,open,,Augalų veislių tyrimo skyriaus pavadinimas,
,,,,,,enum,,,"""Kauno augalų veislių tyrimo skyrius""",,,,,
,,,,,,,,,"""Pasvalio augalų veislių tyrimo skyrius""",,,,,
,,,,,,,,,"""Plungės augalų veislių tyrimo skyrius""",,,,,
,,,,,,,,,"""Utenos augalų veislių tyrimo skyrius""",,,,,
,,,,,,,,,"""Rumokų bandymų stotis""",,,,,
,,,,,,,,,"""Kaišiadorių augalų veislių tyrimo skyrius""",,,,,
,,,,,veisle,string,,,,2,open,,Veislės pavadinimas,Skliaustuose pateikiamas selekcinis veislės žymuo
,,,,,rodiklis_en,string,,,,4,open,,Tyrimo rodiklio pavadinimas anglų kalba,
,,,,,rodiklis_lt,string,,,,4,open,,Tyrimo rodiklio pavadinimas,
,,,,,palaikytojas,string,,,,1,open,,Veislės palaikytojas,
,,,,,metai,integer,,,,2,open,,Derliaus metai,
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,reiksme,number,,,,4,open,,Tyrimo rodiklio reikšmė,
,,,,,standartine,boolean,,,,4,open,,"Nuoroda, ar augalų veislė yra standartinė",
,,,,,,,,,,,,,,
,,,,SaugVeisle,,,eil_nr,,,4,open,,Saugomų augalų veislių sąrašas.,
,,,,,eil_nr,string,,,,4,open,,Eil Nr,
,,,,,paraiskos_nr,string,,,,4,open,,Paraiškos Nr,
,,,,,rusis,string,,,,2,open,,Augalo rūšis,
,,,,,veisle,string,,,,2,open,,Veislės pavadinimas,
,,,,,selekcininkas,string,,,,1,open,,Selekcininkas,
,,,,,igaliotasis_atstovas,string,,,,1,open,,Įgaliotasis atstovas,
,,,,,galiojimas,string,,,,1,open,,Galiojimo laikas,
