id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ssva/atestatu_pripazinimai,,,,,,,,,,,,"Statinio statybos ir ekspertizės rangovų atestatų, statinio statybos, ekspertizės rangovų ir projektuotojų teisės pripažinimo dokumentų registras",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Dokumentas,,,id,,,4,,,Atestatai ir teisės pripažinimo dokumentai,
,,,,,id,integer,,,,4,open,,Teisės dokumento ID,
,,,,,nr,integer,,,,4,open,,Teisės dokumento numeris,
,,,,,isdavimas,date,D,,,4,open,,Teisės dokumento išdavimo data,
,,,,,galiojimas,date,D,,,4,open,,Teisės dokumento galiojimo pabaiga,
,,,,,registracija,date,D,,,4,open,,Pirmoji teisės dokumento išdavimo data,
,,,,,tekstas,string,,,,4,open,,Teisės dokumento tekstas,
,,,,,rangovo_pav,string,,,,4,open,,Rangovo pavadinimas,
,,,,,rangovo_kod,integer,,,,4,open,,Rangovo juridinio asmens kodas,
,,,,,rangovo_adr,string,,,,4,open,,Rangovo adresas,
,,,,,tipas,string,,,,4,open,,Teisės dokumento tipas,
,,,,,,enum,,,"""KA""",,,,Kvalifikacijos atestatas,
,,,,,,,,,"""TPD""",,,,Teisės pripažinimo dokumentas,
,,,,,pavadinimas,string,,,,3,open,,Pripažinas teisės dokumentas,
,,,,,,,,,,,,,,
,,,,Priemone,,id,,,,4,,,Poveikio priemonės,
,,,,,id,ref,Dokumentas,,,4,open,,Teisės dokumento ID,
,,,,,nr,string,,,,4,open,,Sprendimo dėl poveikio taikymo numeris,
,,,,,data,date,D,,,4,open,,Sprendimo dėl poveikio taikymo data,
,,,,,tipas,string,,,,4,open,,Poveikio priemonės tipas,
,,,,,,enum,,,"""Naikinimas""",,,,,
,,,,,,,,,"""Stabdymas""",,,,,
,,,,,,,,,"""Įspejimas""",,,,,
,,,,,registruota,date,D,,,4,open,,Poveikio priemonės taikymo pradžia,
,,,,,galiojimas,date,D,,,4,open,,Poveikio priemonės taikymo pabaiga,
,,,,,tekstas,string,,,,4,open,,Poveikio priemonės aprašymas,
,,,,,pastabos,string,,,,4,open,,Pastaba dėl poveikio priemonės taikymo,
