id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/jar/iregistruoti,,,,,,,,,,,,Juridinių asmenų registre įregistruoti juridiniai asmenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,JuridinisAsmuo,,,ja_kodas,,,4,,,Juridinis asmuo,
,,,,,ja_kodas,integer,,,,4,open,,Juridinio asmens kodas,
,,,,,ja_pavadinimas,string,,,,4,open,,Juridinio asmens pavadinimas,
,,,,,pilnas_adresas,string,,,,1,open,,Registracijos adresas,
,,,,,adresas,ref,/datasets/gov/rc/ar/adresai/Adresas,,,4,open,,Adresas,
,,,,,reg_data,date,D,,,4,open,,Įregistravimo data,
,,,,,isreg_data,date,D,,,4,open,,Išregistravimo data,
,,,,,forma,ref,/datasets/gov/rc/jar/formos_statusai/Forma,,,4,open,,Formos pavadinimas,
,,,,,statusas,ref,/datasets/gov/rc/jar/formos_statusai/Statusas,,,4,open,,Statuso pavadinimas,
,,,,,stat_data,date,D,,,4,open,,Statuso įgijimo data,
