id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/jar/pelno_ataskaitos,,,,,,,,,,,,Juridinių asmenų pateikti finansinės atskaitomybės dokumentai – pelno (nuostolių) ataskaitos,"Lietuvos Respublikos juridinių asmenų registrui įregistruotų juridinių asmenų pateikti finansinės atskaitomybės dokumentai – pelno (nuostolių) ataskaitos (RAW data). Individualių įmonių, komanditinių ūkinių bendrijų, tikrųjų ūkinių bendrijų pavadinimai nu"
,,,,,,,,,,,,,,
,,,,PelnoAtaskaita,,,juridinis_asmuo,,,4,open,,Juridinių asmenų pateikti finansinės atskaitomybės dokumentai – pelno (nuostolių) ataskaitos,
,,,,,juridinis_asmuo,ref,/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo,,,4,open,,Juridinis asmuo juridinių asmenų registre,
,,,,,forma,ref,/datasets/gov/rc/jar/formos_statusai/Forma,,,4,open,,Juridinio asmens formos kodas iš jar teisinių formų klasifikatoriaus,
,,,,,statusas,ref,/datasets/gov/rc/jar/formos_statusai/Statusas,,,4,open,,Juridinio asmens teisinio statuso kodas iš jar teisinių statusų klasifikatoriaus,
,,,,,template_id,string,,,,2,open,,Finansinės ataskaitos rūšies kodas,
,,,,,template_name,string,,,,2,open,,Finansinės ataskaitos rūšies pavadinimas,
,,,,,standard_id,string,,,,2,open,,Finansinės ataskaitos dokumentų rinkinio kodas,
,,,,,standard_name,string,,,,2,open,,Finansinės ataskaitos dokumentų rinkinio tipas,
,,,,,laikotarpis_nuo,date,D,,,4,open,,Finansinių metų pradžios data,
,,,,,laikotarpis_iki,date,D,,,4,open,,Finansinių metų pabaigos data,
,,,,,reg_date,date,D,,,4,open,,Finansinės atskaitomybės dokumentų įregistravimo jar data,
,,,,,pelnas_pries_apmokestinima,integer,,,,3,open,,Finansinės atskaitomybės ataskaitos rodiklio (pelno prieš apmokestinimą) reikšmė eurais,
,,,,,grynasis_pelnas,integer,,,,3,open,,Finansinės atskaitomybės ataskaitos rodiklio (grynojo pelno) reikšmė eurais,
,,,,,pardavimo_pajamos,integer,,,,3,open,,Finansinės atskaitomybės ataskaitos rodiklio (pardavimo pajamų) reikšmė eurais,
