id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/finmin/sutartys,,,,,,,,,,,,2014-2020 m. ES fondų projektų įgyvendinimo duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,Contract,,,project,,,4,,,Projekto sutartis,
,,,,,project,ref,/datasets/gov/finmin/paraiskos/Project,,,4,,,Projekto identifikatorius,
,,,,,name,string,,,,4,,,Projekto pavadinimas sutartyje,
,,,,,tripartite,boolean,,,,4,,,Trišalė sutartis,
,,,,,state_aid,boolean,,,,4,,,Teikiama valstybės pagalba,
,,,,,de_minimis_aid,boolean,,,,4,,,Teikiama de minimis pagalba,
,,,,,awards,boolean,,,,4,,,Taikomi apdovanojimai,
,,,,,iti,boolean,,,,4,,,Integruotų teritorijų investicijų projektas (ITI),
,,,,,baltic_strategy,string,,,,3,,,Projektas prisideda prie Baltijos jūros regiono strategijos įgyvendinimo,
,,,,,is_submitted_ppp,boolean,,,,4,,,Teikiamas PPP,
,,,,,partic_attend,boolean,,,,4,,,Projekto veiklose dalyvauja projekto dalyviai,
,,,,,esf,boolean,,,,4,,,ESF Tarptautinis projektas,
,,,,,is_provided_gng,boolean,,,,4,,,Teikiami GNG duomenys,
,,,,,implement_type,string,,,,3,,,Projekto įgyvendinimo tipas,
,,,,,impl_partners,boolean,,,,4,,,"Projektas, kuris visiškai arba iš dalies įgyvendinamas socialinių partnerių ar NVO",
,,,,,women_attend,boolean,,,,4,,,"Projektas, skirtas tvariam moterų dalyvavimui ir pažangai darbo rinkoje",
,,,,,partnership,boolean,,,,4,,,Viešos – privačios partnerystės programa,
,,,,,voluminous,boolean,,,,4,,,Didelės apimties projektas,
,,,,,executor,string,,,,2,,,Vykdytojo pavadinimas,"Nerodoma, kai fizinis asmuo arba turi fizinio asmens duomenų"
,,,,,executor_code,string,,,,2,,,Vykdytojo JAR kodas,Užsienio pareiškėjams nurodyti analogiški kodai. Fiziniams asmenims vertės pašalintos
,,,,,executor_foreign_person,boolean,,,,4,,,Vykdytojas yra užsienyje registruotas juridinis asmuo,
,,,,,legal_person_type,string,,,,3,,,Juridinio asmens tipas,
,,,,,subject_legal_form,string,,,,3,,,Subjekto teisinė forma,
,,,,,description,string,,,,4,,,Projekto santrauka,
,,,,,county,string,,,,2,,,"Apskritis, kuriai tenka didžioji dalis projekto lėšų",
,,,,,municipality,string,,,,2,,,"Savivaldybė, kuriai tenka didžioji dalis projekto lėšų",
,,,,,eurostat_territory,string,,,,2,,,Projekto įgyvendinimo teritorija pagal Eurostat skirstymą,
,,,,,in_another_eu,boolean,,,,4,,,Projektas ar jo dalis įgyvendinami kitoje ES valstybėje narėje (ne Lietuvos Respublikoje),
,,,,,outside_eu,boolean,,,,4,,,Projektas ar jo dalis įgyvendinami už ES teritorijos ribų,
,,,,,fin_outside_amount,number,,,,2,,,"Projekto finansavimo lėšų suma, skiriama veikloms, įgyvendinamoms ne programos teritorijoje",
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,duration,integer,mo,,,4,,,Projekto įgyvendinimo trukmė (mėnesiais),
,,,,,principle,boolean,,,,4,,,Projekto įgyvendinimo metu bus užtikrintas horizontaliųjų principų laikymasis,
,,,,,started,date,D,,,4,,,Sutarties įsigaliojimo data,
,,,,,canceled,date,D,,,4,,,Sutarties nutraukimo data,
,,,,,finished,date,D,,,4,,,Projekto baigimo data,
,,,,,impl_from,date,D,,,4,,,Projekto veiklų įgyvendinimo pradžia,
,,,,,impl_till,date,D,,,4,,,Projekto veiklų įgyvendinimo pabaiga,
,,,,,fin_eligibility,string,,,,3,,,PVM tinkamumas finansuoti. ,
,,,,,max_advance_amount,number,,,,2,,,Maksimalus avansas (suma),
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,final_pay_by,date,D,,,4,,,Galutinio mokėjimo prašymo pateikimo data,
,,,,,expense_compensation,boolean,,,,4,,,"Ar bus teikiami mokėjimo prašymai, kurių apmokėjimo būdas „Išlaidų kompensavimas“",
,,,,,account_payment,boolean,,,,4,,,"Ar bus teikiami mokėjimo prašymai, kurių apmokėjimo būdas „Sąskaitų apmokėjimas“",
,,,,,fixed_rate,boolean,,,,4,,,Taikomi fiksuotieji projekto išlaidų vieneto įkainiai,
