id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lgt/geologiniai_tyrimai,,,,,,,,,,,,Geologinių tyrimų ataskaitų katalogas,
,,,,,,,,,,,,,,
,,,,GeologinisTyrimas,,,fondo_nr,,,4,open,,Geologinių tyrimų ataskaitų katalogas,
,,,,,fondo_nr,string,,,,4,open,,Dokumento numeris Geologijos fondo kataloge,
,,,,,rusis,string,,,,4,open,,Dokumento rūšis,
,,,,,rubrikos,string,,,,2,open,,Rubrikos,
,,,,,autoriai,string,,,,4,open,,Autoriai,
,,,,,antraste,string,,,,2,open,,Antrastė,
,,,,,parengimo metai,integer,,,,2,open,,Parengimo metai,
,,,,,apribota_iki,date,D,,,4,open,,Apribota iki,
,,,,,aprasas,string,,,,2,open,,Aprašas,
,,,,,iraso_data,date,D,,,4,open,,Įrašo data,
