id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/cl/institucijos,,,,,,,,,,,,"Institucijų ekonominės veiklos rūšys ir sektoriai",
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,Institucija,,,,,,,,,Institucija,
,,,,,,comment,base,,"update(base: ""/datasets/gov/rc/jar/JuridinisAsmuo"")",,open,"manifest:1290, spinta:205",,
,,,,,kodas,string,,,,2,open,,Kodas,
,,,,,,comment,type,,"update(type: """")",4,open,"manifest:1290, spinta:205",,
,,,,,ekonomine_veiklos_rusis,string,,,,2,open,,"Ekonominės veikos rūšis",
,,,,,,comment,type,,"update(type: ""ref"",  ref: ""/datasets/gov/lsd/cl/evrk/EkonominesVeiklosRusis"")",4,open,spinta:1476,,
,,,,,sektorius,string,,,,2,open,,Sektorius,
,,,,,,comment,type,,"update(type: ""ref"",  ref: ""datasets/gov/lsd/cl/sektoriai/Sektorius"")",4,open,spinta:1476,,
,,,,,veikla_atnaujinta,datetime,,,,4,open,,"Veiklos atnaujinimas",
,,,,,veikla_isregistruota,datetime,,,,4,open,,"Veiklos išregistravimas",
,,,,,pavadinimas,string,,,,2,open,,"Juridinio asmens pavadinimas",
,,,,,,comment,type,,"update(property: ""pavadinimas@lt"", type: """")",open,,"manifest:1290, spinta:205, spinta:204",,
