id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/kapines/registras,,,,,,,,,,,,Savivaldybių kapinių registro duomenys,"Rinkinyje pateikiami suskaitmenintų Lietuvos savivaldybėms priklausančių kapinių kapaviečių ir jose palaidotų velionių duomenys. Nurodomos kapaviečių charakteristikos: ilgis, plotis, dydis, palaidotų velionių skaičius, kapavietės vietos koordinatės, papildomo pobūdžio informacija. Taip pat pateikiamos palaidoto velionio charakteristikos: vardas, pavardė, lytis, gimimo, mirties ir palaidojimo datos, ir su jo kapaviete susiję duomenys (ryšys su kitais kapavietėje palaidotais asmenimis, kapą prižiūrinčiu asmeniu, kapo gylis, vieta bendrame kapinių plane). 
 
Turint klausimų apie duomenų rinkinį, prašome kreiptis į Valstybės duomenų valdysenos atvėrimo komandą elektroniniu paštu atverimas@stat.gov.lt."
,datasets/gov/kapines/registras/kapavietes,,,,,,,,,,,,Duomenys apie kapavietes savivaldybių kapinėse,"Pateikiami suskaitmenintų Lietuvos savivaldybėms priklausančių kapinių kapaviečių duomenys iš savivaldybių CEMETY ir LIKSGIS informacinių sistemų. Aprašomos kapaviečių charakteristikos: ilgis, plotis, dydis, palaidotų velionių skaičius, kapavietės vietos  koordinatės bei papildomo pobūdžio informacija. Turint klausimų apie duomenų rinkinį, prašome kreiptis į Valstybės duomenų valdysenos atvėrimo komandą elektroniniu paštu atverimas@stat.gov.lt."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,SiauliuMiestas,,,vda_id,,,4,,,Šiaulių miesto savivaldybės kapinių kapaviečių duomenys,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,savivaldybe,string,,,,4,open,,Savivaldybės pavadinimas,
,,,,,kapo_id,string,,,,4,open,,Kapavietės identifikatorius,
,,,,,kapavietes_dydis,number,m^2,,,4,open,,Kapavietės plotas,
,,,,,matavimo_vnt,string,,,,3,open,,Ploto matavimo vienetai,
,,,,,kapines,string,,,,4,open,,Kapavietės kapinių pavadinimas,
,,,,,palaidotu_sk,integer,U,,,4,open,,Kapavietėje palaidotų velionių skaičius,
,,,,,maks_velioniu_sk,integer,U,,,4,open,,Maksimalus leidžiamas kapavietėje laidoti velionių skaičius,
,,,,,tipas,string,,,,4,open,,Kapavietės tipas,Gali būti kapavietė arba kolumbariumas
,,,,,,enum,,,"""kapavietė""",,,,,
,,,,,,,,,"""kolumbariumas""",,,,Kolumbariumo niša,
,,,,,ilgis_m,number,m,,,4,open,,"Kapavietės ilgis, nurodytas metrais.","Kai kapavietės tipas kolumbariumas, stulpelis įgija reikšmę ""1""."
,,,,,plotis_m,number,m,,,4,open,,"Kapavietės plotis, nurodytas metrais",
,,,,,geometrija,geometry(3857),,,,4,open,,Kapavietės vietos taško koordinatės pagal WGS84 / Pseudo-Mercator koordinačių sistemą.,
,,,,,ar_nestandartinis_dydis,boolean,,,,4,open,,"Požymis, ar kapavietė yra nestandartinio dydžio",
,,,,,ar_kulturos_paveldas,boolean,,,,4,open,,"Požymis, ar kapavietė yra kultūros paveldo objektas",
,,,,,paveldo_kodas,string,,,,4,open,,"Jei kapavietė yra kultūros paveldo objektas, nurodomas paveldo kodas.",
,,,,,paveldo_aprasymas_lt,string,,,,2,open,,"Jei kapavietė yra kultūros paveldo objektas, nurodomas aprašymas.",
,,,,,,comment,type,,"update(property: ""paveld_aprasymas_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,pastaba_lt,string,,,,2,open,,Papildomos pastabos apie kapavietę,
,,,,,,comment,type,,"update(property: ""pastaba_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,,,,,,,,,,
,,,,PalangosMiestas,,,vda_id,,,4,,,Palangos miesto savivaldybės kapinių kapaviečių duomenys,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,savivaldybe,string,,,,4,open,,Savivaldybės pavadinimas,
,,,,,kapo_id,string,,,,4,open,,Kapavietės identifikatorius,
,,,,,kapavietes_dydis,number,m^2,,,4,open,,Kapavietės plotas,
,,,,,matavimo_vnt,string,,,,3,open,,Ploto matavimo vienetai,
,,,,,kapines,string,,,,4,open,,Kapavietės kapinių pavadinimas,
,,,,,palaidotu_sk,integer,U,,,4,open,,Kapavietėje palaidotų velionių skaičius,
,,,,,maks_velioniu_sk,integer,U,,,4,open,,Maksimalus leidžiamas kapavietėje laidoti velionių skaičius,
,,,,,tipas,string,,,,4,open,,Kapavietės tipas,Gali būti kapavietė arba kolumbariumas
,,,,,,enum,,,"""kapavietė""",,,,,
,,,,,,,,,"""kolumbariumas""",,,,Kolumbariumo niša,
,,,,,ilgis_m,number,m,,,4,open,,"Kapavietės ilgis, nurodytas metrais.","Kai kapavietės tipas kolumbariumas, stulpelis įgija reikšmę ""1""."
,,,,,plotis_m,number,m,,,4,open,,"Kapavietės plotis, nurodytas metrais",
,,,,,geometrija,geometry(3857),,,,4,open,,Kapavietės vietos taško koordinatės pagal WGS84 / Pseudo-Mercator koordinačių sistemą.,
,,,,,ar_nestandartinis_dydis,boolean,,,,4,open,,"Požymis, ar kapavietė yra nestandartinio dydžio",
,,,,,ar_kulturos_paveldas,boolean,,,,4,open,,"Požymis, ar kapavietė yra kultūros paveldo objektas",
,,,,,paveldo_kodas,string,,,,4,open,,"Jei kapavietė yra kultūros paveldo objektas, nurodomas paveldo kodas.",
,,,,,paveldo_aprasymas_lt,string,,,,2,open,,"Jei kapavietė yra kultūros paveldo objektas, nurodomas aprašymas.",
,,,,,,comment,type,,"update(property: ""paveld_aprasymas_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,pastaba_lt,string,,,,2,open,,Papildomos pastabos apie kapavietę,
,,,,,,comment,type,,"update(property: ""pastaba_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,,,,,,,,,,
,,,,SilutesRajonas,,,vda_id,,,4,,,Šilutės rajono savivaldybės kapinių kapaviečių duomenys,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,savivaldybe,string,,,,4,open,,Savivaldybės pavadinimas,
,,,,,kapo_id,string,,,,4,open,,Kapavietės identifikatorius,
,,,,,kapavietes_dydis,number,m^2,,,4,open,,Kapavietės plotas,
,,,,,matavimo_vnt,string,,,,3,open,,Ploto matavimo vienetai,
,,,,,kapines,string,,,,4,open,,Kapavietės kapinių pavadinimas,
,,,,,palaidotu_sk,integer,U,,,4,open,,Kapavietėje palaidotų velionių skaičius,
,,,,,maks_velioniu_sk,integer,U,,,4,open,,Maksimalus leidžiamas kapavietėje laidoti velionių skaičius,
,,,,,tipas,string,,,,4,open,,Kapavietės tipas,Gali būti kapavietė arba kolumbariumas
,,,,,,enum,,,"""kapavietė""",,,,,
,,,,,,,,,"""kolumbariumas""",,,,Kolumbariumo niša,
,,,,,ilgis_m,number,m,,,4,open,,"Kapavietės ilgis, nurodytas metrais.","Kai kapavietės tipas kolumbariumas, stulpelis įgija reikšmę ""1""."
,,,,,plotis_m,number,m,,,4,open,,"Kapavietės plotis, nurodytas metrais",
