id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmvt/pranesimai,,,,,,,,,,,,Pranešimai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Pranešimas,,,pranesimo_id,,pazeidimo_rusis!='Klastotė',4,,,"Pranešimų duomenys","Pateikiami pranešimai apie nustatytus pažeidimus, pažeidimo rūšį, pavojų, pažeidimo tipą, aptikimo tipą, išplatinimo ribas, rizikos tipą ir rizikos taikymo ribas."
,,,,,pranesimo_id,string,,pranesimo_id,,4,open,,"Unikalus pranešimo identifikatorius",
,,,,,pranesimo_data,date,,pranesimo_data,,4,open,,"Pranešimo data",
,,,,,nustatytas_pazeidimas,string,,nustatytas_pazeidimas,,4,open,,"Nustatytas pažeidimas",
,,,,,pazeidimo_rusis,string,,pazeidimo_rusis,,4,open,,"Pažeidimo rūšis",
,,,,,pavojus,string,,pavojus,,4,open,,"Pavojus",
,,,,,pazeidimo_tipas,string,,pazeidimo_tipas,,4,open,,"Pažeidimo tipas",
,,,,,aptikimo_tipas,string,,aptikimo_tipas,,4,open,,"Aptikimo tipas",
,,,,,isplatinimo_ribos,string,,isplatinimo_ribos,,4,open,,"Išplatinimo ribos",
,,,,,,enum,,,"""Išplatinta rinkoje""",,,,Išplatinta rinkoje,
,,,,,,,,,"""Nėra informacijos apie išplatinimą""",,,,Nėra informacijos apie išplatinimą,
,,,,,,,,,"""Pasibaigęs tinkamumo vartoti laikas""",,,,Pasibaigęs tinkamumo vartoti laikas,
,,,,,,,,,"""Suvartota""",,,,Suvartota,
,,,,,rizikos_tipas,string,,rizikos_tipas,,4,open,,"Rizikos tipas",
,,,,,rizikos_taikymo_ribos,string,,rizikos_taikymo_ribos,,4,open,,"Rizikos taikymo ribos",
,,,,,,,,,,,,,,
,,,,Siunta,,,siuntos_id,,,4,,,"Siuntų duomenys","Pateikiami siuntų duomenys: kilmės šalis, produkto grupė, produkto pavadinimas, partijos numeris, tinkamumo terminas ir tinkamumo tipas."
,,,,,siuntos_id,string,,siuntos_id,,4,open,,"Unikalus siuntos identifikatorius",
,,,,,pranesimo_id,string,,pranesimo_id,,4,open,,"Pranešimo identifikatorius",
,,,,,kilmes_salis,string,,kilmes_salis,,4,open,,"Kilmės šalis",
,,,,,produkto_grupe,string,,produkto_grupe,,4,open,,"Produkto grupė",
,,,,,produkto_pavadinimas,string,,produkto_pavadinimas,,4,open,,"Produkto pavadinimas",
,,,,,partijos_numeris,string,,partijos_numeris,,4,open,,"Partijos numeris",
,,,,,tinkamumo_terminas,date,,tinkamumo_terminas,,4,open,,"Tinkamumo terminas",
,,,,,tinkamumo_tipas,string,,tinkamumo_tipas,,4,open,,"Tinkamumo tipas",
,,,,,,,,,,,,,,
,,,,Subjektas,,,id,,,4,,,"Subjektų duomenys","Pateikiama informacija apie ukio subjektus: subjekto pavadinimas, tipas ir šalis."
,,,,,id,string,,id,,4,open,,"Unikalus subjekto identifikatorius",
,,,,,siuntos_id,string,,siuntos_id,,4,open,,"Siuntos identifikatorius",
,,,,,pranesimo_id,string,,pranesimo_id,,4,open,,"Pranešimo identifikatorius",
,,,,,ukio_subjektas,string,,ukio_subjektas,,4,open,,"ūkio subjekto pavadinimas",
,,,,,subjekto_tipas,string,,subjekto_tipas,,4,open,,"Subjekto tipas",
,,,,,ukio_subjekto_salis,string,,ukio_subjekto_salis,,4,open,,"ūkio subjekto šalis",
