id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/pvm_deklaracijos,,,,,,,,,,,,Pridėtinės vertės mokesčio deklaracijų duomenų rinkinys,
,,,,,,,,,,,,,,
,,,,VtsFr0600Mainai,,,,,,,,,FR0600_DUOMENYS,
,,,,,mokestinis_laikotarpis,datetime,YYYY-MM,,,,open,,Mokestinis laikotarpis iki (laikotarpio pabaigos data),
,,,,,sekcija_pagal_ekonomines_veiklos_rusiu_klasifikatoriu,string,,,,,open,,"Deklaracijoje nurodyta pagrindinė vykdomos veiklos rūšis pagal Ekonominės veiklos rūšių klasifikatorių, patvirtintą Statistikos departamento generalinio direktoriaus 2007 m. spalio 31 d. įsakymu Nr.DĮ-226 (Žin., 2007, Nr.119-4877, toliau - EVRK) ","Užsiimančių ta pačia veikla mokesčių mokėtojų dominavimo atveju nėra nustatyta EVRK sekcija, EVRK skyrius ir apskritis"
,,,,,skyrius_pagal_ekonomines_veiklos_rusiu_klasifikatoriu,string,,,,,open,,"Pagrindinė vykdomos veiklos rūšis pagal EVRK. Imama iš klasifikatoriaus, jei pavyko identifikuoti pagal deklaracijoje įrašytą kodą","Užsiimančių ta pačia veikla mokesčių mokėtojų dominavimo atveju nėra nustatyta EVRK sekcija, EVRK skyrius ir apskritis"
,,,,,apskritis,string,,,,,open,,Deklaracijai priskirtos apskrities pavadinimas,"Užsiimančių ta pačia veikla mokesčių mokėtojų dominavimo atveju nėra nustatyta EVRK sekcija, EVRK skyrius ir apskritis"
,,,,,mokesciu_moketoju_skaicius,integer,,,,,open,,Mokesčių mokėtojų skaičius,
,,,,,11_pvm_apmokestinami_sandoriai,string,,,,,open,,"PVM apmokestinami tiekimai (18, 9, 5 procentais)",
,,,,,12_pvm_apmokestinami_sandoriai_kai_pvm_isskaito_pirkejas,string,,,,,open,,"PVM apmokestinami sandoriai, kai PVM išskaito pirkėjas (PVM įstatymo 96 str. nustatytais atvejais)",
,,,,,13_pvm_neapmokestinami_sandoriai,string,,,,,open,,PVM neapmokestinami tiekimai,
,,,,,14_suvartojimas_privatiems_poreikiams,string,,,,,open,,Suvartojimas privatiems poreikiams,
,,,,,15_ilgalaikio_materialiojo_turto_pasigaminimas,string,,,,,open,,Ilgalaikio materialiojo turto pasigaminimas,
,,,,,16_sandoriu_kuriems_taikoma_spec_apmokestinimo_schema_marza,string,,,,,open,,"Tiekimų, kuriems taikoma speciali apmokestinimo schema, marža",
,,,,,17_prekiu_eksportas_0_proc,string,,,,,open,,"Patiektos ir už Europos Sąjungos ribų išgabentos prekės (eksportas, PVM – 0 procentų)",
,,,,,18_es_pvm_moketojams_patiektos_prekes_0_proc,string,,,,,open,,Europos Sąjungos valstybių narių PVM mokėtojams patiektos ir iš Lietuvos Respublikos išgabentos prekės (PVM – 0 procentų),
,,,,,19_kiti_pvm_apmokestinami_sandoriai_0_proc,string,,,,,open,,"Kitos patiektos prekės ir suteiktos paslaugos, apmokestinamos 0 procentų",
,,,,,20_uz_lietuvos_ribu_ivyke_sandoriai_ne_pvm_objektas_lietuvoje,string,,,,,open,,"Už Lietuvos Respublikos ribų patiektos prekės ir suteiktos paslaugos, kurių pirkimo (importo) PVM atskaitomas",
,,,,,21_is_es_isigytos_prekes,string,,,,,open,,"Iš Europos Sąjungos valstybių narių įsigytos prekės, kurių įsigijimo vieta Lietuvos Respublikoje",
,,,,,22_is_es_isigytos_prekes_trikampei_prekybai,string,,,,,open,,"Iš Europos Sąjungos valstybių narių įsigytos prekės, kurios iš karto patiektos kitos Europos Sąjungos valstybės narės PVM mokėtojams (trikampė prekyba)",
,,,,,23_is_uzsienio_valstybiu_isigytos_paslaugos,string,,,,,open,,Iš užsienio valstybių įsigytos paslaugos,
,,,,,24_is_ju_isigytos_is_es_pvm_moketoju,string,,,,,open,,Iš ES valstybių narių PVM mokėtojų įsigytos paslaugos,
,,,,,25_isigytu_prekiu_ir_paslaugu_pirkmo_pvm,string,,,,,open,,Įsigytų prekių ir paslaugų pirkmo PVM,
,,,,,26_sumoketas_importo_pvm,string,,,,,open,,Sumokėtas importo PVM,
,,,,,27_importo_pvm_kurio_iskaityma_kontroliuoja_vmi,string,,,,,open,,"Importo PVM, kurio įskaitymą kontroliuoja VMI",
,,,,,29_standartinio_tarifo_pardavimo_pvm,string,,,,,open,,Standartinio tarifo pardavimo PVM,
,,,,,30_9_procentu_pardavimo_pvm,string,,,,,open,,9 procentų pardavimo PVM,
,,,,,31_5_procentu_pardavimo_pvm,string,,,,,open,,5 procentų pardavimo PVM,
,,,,,32_pardavimo_pvm_pagal_95_str,string,,,,,open,,Pardavimo PVM (PVM įstatymo 95 str. nustatytais atvejais),
,,,,,33_pardavimo_pvm_pagal_96_str,string,,,,,open,,Pardavimo PVM (PVM įstatymo 96 str. nustatytais atvejais),
,,,,,34_is_es_isigytu_prekiu_pardavimo_pvm,string,,,,,open,,Pirkėjo apskaičiuotas iš kitų Europos Sąjungos valstybių narių įsigytų prekių pardavimo PVM,
,,,,,35_atskaitomas_pvm,string,,,,,open,,Atskaitomas pirkimo ir importo PVM,
,,,,,36_moketinas_i_biudzeta_arba_grazintinas_is_biudzeto_pvm,string,,,,,open,,Mokėtinas į biudžetą arba grąžintinas iš biudžeto (-) PVM,
